"id","policy_id","condition_key","operator","expected_value","required","question_id","source_text","evaluation_mode"
"1","1","RESIDENCE_REGION","EQ","SEOUL","true","1","서울시 거주 또는 서울 내 주택 계약 등 공고 요건 확인","DETERMINISTIC"
"2","1","MARRIAGE_STATUS","IN","MARRIED|PRE_MARRIED","true","2","신혼부부 또는 예비신혼부부","DETERMINISTIC"
"3","1","HOUSEHOLD_INCOME","LTE","OFFICIAL_THRESHOLD","true","6","부부합산 연소득 기준","OFFICIAL_CONFIRMATION_REQUIRED"
"4","1","RENT_CONTRACT_STATUS","IN","PLANNED|SIGNED","true","9","임대차계약 및 대출 실행 시점 확인","DETERMINISTIC"
"5","1","HOME_OWNERSHIP","EQ","HOUSELESS","true","5","무주택 요건 확인","DETERMINISTIC"
"6","2","RELATED_POLICY_USED","CONTAINS","POLICY_1","true","20","서울시 신혼부부 임차보증금 이자지원 신규 대출자","DETERMINISTIC"
"7","2","GUARANTEE_PROVIDER","EQ","HF","true","21","한국주택금융공사 반환보증 가입","DETERMINISTIC"
"8","2","GUARANTEE_FEE_PAID","EQ","YES","true","22","보증료 납부 완료","DETERMINISTIC"
"9","3","RESIDENCE_REGION","EQ","SEOUL","true","1","서울시 신청 기준","DETERMINISTIC"
"10","3","HOME_OWNERSHIP","EQ","HOUSELESS","true","5","주택 소유자 제외","DETERMINISTIC"
"11","3","GUARANTEE_FEE_PAID","EQ","YES","true","22","반환보증 가입 및 보증료 납부","DETERMINISTIC"
"12","3","RELATED_POLICY_USED","NOT_CONTAINS","POLICY_2","true","20","서울시 신혼부부 반환보증료 지원 기수혜자 제외","DETERMINISTIC"
"13","4","RESIDENCE_REGION","EQ","SEOUL","true","1","서울 거주 출산가구","DETERMINISTIC"
"14","4","CHILD_BIRTH_DATE","IN_PERIOD","OFFICIAL_PERIOD","true","13","공고상 출생일 기준","OFFICIAL_CONFIRMATION_REQUIRED"
"15","4","HOME_OWNERSHIP","EQ","HOUSELESS","true","5","무주택가구","DETERMINISTIC"
"16","4","HOUSING_COST_EXISTS","EQ","YES","true","23","전세대출이자 또는 월세 등 실제 주거비","DETERMINISTIC"
"17","5","MARRIAGE_STATUS","IN","MARRIED|PRE_MARRIED|SINGLE_PARENT","true","2","공고별 신혼부부·예비신혼부부·한부모","DETERMINISTIC"
"18","5","HOUSEHOLD_INCOME","LTE","ANNOUNCEMENT_THRESHOLD","true","6","공급 공고별 소득 기준","OFFICIAL_CONFIRMATION_REQUIRED"
"19","5","HOME_OWNERSHIP","EQ","HOUSELESS","true","5","무주택 요건","DETERMINISTIC"
"20","5","SUBSCRIPTION_ANNOUNCEMENT","EQ","OPEN","true","24","현재 모집공고 확인","DETERMINISTIC"
"21","6","MARRIAGE_STATUS","IN","MARRIED|PRE_MARRIED|SINGLE_PARENT","true","2","신혼희망타운 대상","DETERMINISTIC"
"22","6","HOME_OWNERSHIP","EQ","HOUSELESS","true","5","무주택세대구성원","DETERMINISTIC"
